id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
234,8,30,1957,1400,12,ZAR,1,M,7.1,F,0     N,N,N,N,
235,8,30,1957,1400,12,ZAR,1,M,5.9,U,0     N,N,N,N,
236,8,30,1957,1400,12,ZAR,1,M,6.6,F,0     N,N,N,N,
237,8,30,1957,1400,12,ZAR,1,M,6.2,U,0     N,N,N,N,
238,8,30,1957,1400,12,ZAR,1,M,11.8,F,0     N,N,N,N,
239,8,30,1957,1400,12,ZAR,1,M,11.3,U,0     N,N,N,N,
240,8,30,1957,1400,12,ZAR,1,M,9.1,F,0     N,N,N,N,
241,8,30,1957,1400,12,ZAR,1,M,9.3,U,0     N,N,N,N,
242,8,30,1957,1400,12,ZAR,1,M,8.2,F,0     N,N,N,N,
243,8,30,1957,1400,12,ZAR,1,M,7.2,F,0     N,N,N,N,
244,8,30,1957,1400,12,ZAR,1,M,10.7,F,0     N,N,N,N,
245,8,30,1957,1400,12,ZAR,1,M,6.2,F,0     N,N,N,N,
246,8,30,1957,1400,12,ZAR,1,M,8.2,F,0     N,N,N,N,
247,8,30,1957,1400,12,ZAR,1,M,7.9,F,0     N,N,N,N,
248,8,30,1957,1400,12,ZAR,1,M,7.5,F,0     N,N,N,N,
249,8,30,1957,1400,12,ZAR,1,M,8.4,F,0     N,N,N,N,
250,8,30,1957,1400,12,ZAR,1,M,10.1,F,0     N,N,N,N,
251,8,30,1957,1400,12,ZAR,1,M,7.5,F,0     N,N,N,N,
252,8,30,1957,1400,12,ZAR,1,M,8.3,F,0     N,N,N,N,
253,8,30,1957,1400,12,ZAR,1,M,9.8,F,0     N,N,N,N,
254,8,30,1957,1400,12,ZAR,1,M,12.6,F,0     N,N,N,N,
255,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
256,8,30,1957,1400,12,ZAR,1,M,6.3,F,0     N,N,N,N,
257,8,30,1957,1400,12,ZAR,1,M,7.9,F,0     N,N,N,N,
258,8,30,1957,1400,12,ZAR,1,M,13.7,F,0     N,N,N,N,
259,8,30,1957,1400,12,ZAR,1,M,10.5,F,0     N,N,N,N,
260,8,30,1957,1400,12,ZAR,1,M,5.6,F,0     N,N,N,N,
261,8,30,1957,1400,12,ZAR,1,M,9.3,F,0     N,N,N,N,
262,8,30,1957,1400,12,ZAR,1,M,9.4,F,0     N,N,N,N,
263,8,30,1957,1400,12,ZAR,1,M,3.9,F,0     N,N,N,N,
